Study_Hours,Attendance_Pct,Prev_CGPA,Assignments_Done,Sleep_Hours,IQ_Score,Stress_Level,Final_Score
5.9926419015578,59.25664644193098,5.570234102415435,36,7.197129016062027,125.07374426116597,2.6266973533048454,100.0
15.211428902558659,77.0950473689179,5.4818727944319985,7,6.388784242877706,126.39545788501466,7.672791775156301,100.0
11.711903068982481,93.64729179382041,9.437527483126221,6,8.05198750685164,97.83410772320543,9.2666555388687,100.0
9.578535747152586,86.61124432047805,5.497277199097036,13,5.3093538222295615,94.81125549100008,4.836908231467939,100.0
2.4962982470789843,90.32805739307248,5.6316983567717855,2,9.301545300161532,77.39690021795249,3.155534744431109,55.88869409358055
2.4959123253792423,82.93916833553587,8.556389574507783,49,6.73354494192194,99.93611519141184,7.889451239349268,98.127599125677
0.9293377946911914,84.61382822589263,6.69843905470324,15,7.457660099861093,129.29954883618987,6.817854977884546,58.16056556993161
13.858818332398963,92.45978257826596,8.660263341731088,18,5.635598385710066,98.06896990708115,8.887524837502724,100.0
9.61784018789134,62.483400442959294,4.392196945386312,17,8.084479394678832,110.93138924715669,6.92514012761193,100.0
11.329161244736728,74.47124818215703,6.925427162040306,15,6.319387580742507,79.03754014121104,2.435283388995363,100.0
0.32935190873283915,61.06047209098011,4.201681601099696,7,7.973843185457648,93.47837605399597,9.31659249759019,31.809306504305916
15.51855763459191,99.38340039983234,4.375919220732127,32,8.136090203466084,106.93697958703976,1.0483574720599131,100.0
13.319082252806748,97.20296698433066,9.438624720066466,48,6.028551829617189,101.58793597072079,2.6794275010684787,100.0
3.3974257708524185,51.9713405684253,4.835472226705571,11,5.314706318629008,112.37001001615843,5.201946077238856,61.66886220281691
2.90919947531361,85.27875862578442,7.194524093651303,10,9.297849874816817,90.95992173162004,5.657420260709014,66.61907122277695
2.934472157654941,96.26241587078329,6.466573615604239,4,6.711551448956377,73.75017176764501,0.1531058662690543,64.99453145374115
4.867875887352604,59.02876725636668,6.084059957553056,26,7.337273224068458,116.83135345483406,7.8057272582094,91.81286117618173
8.396102906115805,78.39726152763147,9.399000074123634,11,7.728196786970113,85.95776066093637,3.616073184253895,100.0
6.911120298273852,95.77441487940209,4.1309403806529374,16,5.119449805152669,107.59906041252975,4.064185410021378,100.0
4.659666243168671,51.69729892928994,7.982738117053534,5,7.693999205229831,106.76285299732623,8.093695444369457,71.156652974286
9.789646315558072,84.871013362342,9.780366605281301,32,7.148689804231956,75.04370207452013,3.7928339172754457,100.0
2.2319017704326694,64.86745036862754,7.361009100771051,4,6.0347039534434135,115.73688125860038,0.4722487649475482,57.66548130459069
4.6743143765634905,96.21980976882652,9.62093477219855,27,5.265196022743407,91.50149208206547,1.764397704703503,100.0
5.861789492699067,98.55291225826838,4.313547275716143,13,7.908828321935904,100.82581932980442,9.559031723881823,93.51175926169157
7.297119747472575,97.2133244556717,6.512759914444969,4,8.691568012292318,94.62726154051666,0.7040536240251416,100.0
